Desa,Dusun,Year,EngagementTotal,EngagementBinned,LossTotal5yr_inside,ForestTotal5yr_inside,PercLossAnnual_inside,LossTotal5yr_outside,ForestTotal5yr_outside,PercLossAnnual_outside,Slope,Elevation,Aspect,DistanceRoad,DistanceRiver,DistanceEdge,Population_desa
batu barat,matan raya,2006,0,1low,90,55211,3.26E-02,228,12332,0.369769705,3.008349634,19.59041513,178.8470441,3503.551861,1212.234013,1984.750802,2133
batu barat,matan raya,2012,327,1low,1,55121,3.63E-04,843,12104,1.392927958,3.008349634,19.59041513,178.8470441,3503.551861,1212.234013,1984.750802,2133
batu barat,matan raya,2017,1514,1low,528,55120,1.92E-01,654,11261,1.161530948,3.008349634,19.59041513,178.8470441,3503.551861,1212.234013,1984.750802,2133
benawai agung,munting,2006,0,3high,15,5018,5.98E-02,0,1692,0,19.97870647,222.4533333,181.5454726,849.201082,1828.439057,766.3541609,2342
benawai agung,munting,2012,3304,3high,20,5003,8.00E-02,2,1692,0.023640662,19.97870647,222.4533333,181.5454726,849.201082,1828.439057,766.3541609,2342
benawai agung,munting,2017,8716,3high,56,4983,2.25E-01,14,1690,0.165680473,19.97870647,222.4533333,181.5454726,849.201082,1828.439057,766.3541609,2342
benawai agung,pelerang,2006,0,2medium,34,2671,2.55E-01,8,3118,0.051314945,20.08463833,126.064877,214.7692021,615.6428867,2844.849404,363.4341729,2342
benawai agung,pelerang,2012,536,2medium,19,2635,1.44E-01,35,3110,0.225080386,20.08463833,126.064877,214.7692021,615.6428867,2844.849404,363.4341729,2342
benawai agung,pelerang,2017,2924,2medium,28,2616,2.14E-01,86,3075,0.559349593,20.08463833,126.064877,214.7692021,615.6428867,2844.849404,363.4341729,2342
benawai agung,semanjak,2006,0,1low,14,1267,2.21E-01,386,8061,0.957697556,3.352801894,10.01262826,181.6235201,619.1676664,342.1196936,103.7494456,2342
benawai agung,semanjak,2012,226,1low,140,1196,2.34E+00,264,7634,0.691642651,3.352801894,10.01262826,181.6235201,619.1676664,342.1196936,103.7494456,2342
benawai agung,semanjak,2017,353,1low,85,1056,1.61E+00,395,7370,1.071913161,3.352801894,10.01262826,181.6235201,619.1676664,342.1196936,103.7494456,2342
gunung sembilan,sebadal,2006,0,1low,121,5434,4.45E-01,11,911,0.241492865,20.27221821,198.7205564,176.7884754,785.8299009,3810.779084,601.4804082,1085
gunung sembilan,sebadal,2012,819,1low,116,5311,4.37E-01,12,900,0.266666667,20.27221821,198.7205564,176.7884754,785.8299009,3810.779084,601.4804082,1085
gunung sembilan,sebadal,2017,2475,1low,288,5195,1.11E+00,9,888,0.202702703,20.27221821,198.7205564,176.7884754,785.8299009,3810.779084,601.4804082,1085
gunung sembilan,tambak rawang,2006,0,2medium,15,1610,1.86E-01,12,1116,0.215053763,18.37802607,154.2371198,228.3743017,676.812398,2243.931921,486.4380129,1085
gunung sembilan,tambak rawang,2012,1018,2medium,15,1595,1.88E-01,32,1104,0.579710145,18.37802607,154.2371198,228.3743017,676.812398,2243.931921,486.4380129,1085
gunung sembilan,tambak rawang,2017,4056,2medium,7,1580,8.86E-02,100,1072,1.865671642,18.37802607,154.2371198,228.3743017,676.812398,2243.931921,486.4380129,1085
harapan mulia,mentubang,2006,0,3high,216,8609,5.02E-01,165,7670,0.430247718,20.8097166,170.0810873,201.5898207,870.1208304,4185.738209,453.7603995,2797
harapan mulia,mentubang,2012,2512,3high,353,8389,8.42E-01,298,7505,0.794137242,20.8097166,170.0810873,201.5898207,870.1208304,4185.738209,453.7603995,2797
harapan mulia,mentubang,2017,8737,3high,323,8036,8.04E-01,590,7207,1.637297072,20.8097166,170.0810873,201.5898207,870.1208304,4185.738209,453.7603995,2797
harapan mulia,rantau panjang,2006,0,2medium,7,6579,2.13E-02,1139,13267,1.717042285,20.26813452,176.4402051,161.9356055,860.1938942,2445.345549,501.8151973,2797
harapan mulia,rantau panjang,2012,1894,2medium,37,6572,1.13E-01,439,12091,0.726159954,20.26813452,176.4402051,161.9356055,860.1938942,2445.345549,501.8151973,2797
harapan mulia,rantau panjang,2017,6952,2medium,45,6535,1.38E-01,1209,11652,2.075180227,20.26813452,176.4402051,161.9356055,860.1938942,2445.345549,501.8151973,2797
jago bersatu,bersatu(jago),2006,0,1low,52,3767,2.76E-01,2676,25088,2.133290816,5.465251989,36.34323607,173.0204244,1987.932645,1154.788632,557.1124091,436
jago bersatu,bersatu(jago),2012,0,1low,161,3706,8.69E-01,12134,22359,10.85379489,5.465251989,36.34323607,173.0204244,1987.932645,1154.788632,557.1124091,436
jago bersatu,bersatu(jago),2017,635,1low,36,3545,2.03E-01,1712,10225,3.348655257,5.465251989,36.34323607,173.0204244,1987.932645,1154.788632,557.1124091,436
laman satong,kepayang,2006,0,3high,510,22788,4.48E-01,1587,84515,0.375554635,5.656722946,59.63563993,180.9402939,3476.359325,1968.036828,1227.62794,2900
laman satong,kepayang,2012,4059,3high,496,22054,4.50E-01,44314,82815,10.70192598,5.656722946,59.63563993,180.9402939,3476.359325,1968.036828,1227.62794,2900
laman satong,kepayang,2017,7988,3high,28,21558,2.60E-02,7476,38501,3.883535493,5.656722946,59.63563993,180.9402939,3476.359325,1968.036828,1227.62794,2900
laman satong,manjau,2006,0,3high,1355,27945,9.70E-01,2918,105222,0.554636863,7.108810666,63.91319836,172.5812994,1908.997638,822.142198,1617.078734,2900
laman satong,manjau,2012,5375,3high,479,26540,3.61E-01,36768,101211,7.265613421,7.108810666,63.91319836,172.5812994,1908.997638,822.142198,1617.078734,2900
laman satong,manjau,2017,12112,3high,144,26061,1.11E-01,14085,64443,4.371304874,7.108810666,63.91319836,172.5812994,1908.997638,822.142198,1617.078734,2900
matan jaya,jelutung,2006,0,1low,405,141252,5.73E-02,16579,146107,2.269432676,4.744125493,45.79304611,181.1482053,3735.3866,1944.133877,2571.720057,2747
matan jaya,jelutung,2012,22,1low,341,140730,4.85E-02,42234,95139,8.878377952,4.744125493,45.79304611,181.1482053,3735.3866,1944.133877,2571.720057,2747
matan jaya,jelutung,2017,176,1low,1144,140389,1.63E-01,9708,52905,3.669974483,4.744125493,45.79304611,181.1482053,3735.3866,1944.133877,2571.720057,2747
matan jaya,matan,2006,0,1low,563,132502,8.50E-02,1851,137606,0.269028967,3.880501864,31.2098894,173.3536584,3943.844504,2023.654204,2544.827251,2747
matan jaya,matan,2012,186,1low,93,131727,1.41E-02,7881,135239,1.165492203,3.880501864,31.2098894,173.3536584,3943.844504,2023.654204,2544.827251,2747
matan jaya,matan,2017,705,1low,5010,131634,7.61E-01,11753,127358,1.845663406,3.880501864,31.2098894,173.3536584,3943.844504,2023.654204,2544.827251,2747
pampang harapan,pampang harapan,2006,0,1low,350,9741,7.19E-01,253,2505,2.01996008,20.50969011,192.5307427,177.9300541,899.3553558,4190.636447,592.6173468,1276
pampang harapan,pampang harapan,2012,154,1low,236,9391,5.03E-01,140,2252,1.243339254,20.50969011,192.5307427,177.9300541,899.3553558,4190.636447,592.6173468,1276
pampang harapan,pampang harapan,2017,448,1low,438,9155,9.57E-01,164,2112,1.553030303,20.50969011,192.5307427,177.9300541,899.3553558,4190.636447,592.6173468,1276
pampang harapan,pasir mayang,2006,0,1low,138,1930,1.43E+00,217,1793,2.420524261,9.353213368,28.93624679,171.9028278,236.4012957,4495.037218,788.5898282,1276
pampang harapan,pasir mayang,2012,8,1low,49,1792,5.47E-01,91,1571,1.158497772,9.353213368,28.93624679,171.9028278,236.4012957,4495.037218,788.5898282,1276
pampang harapan,pasir mayang,2017,43,1low,354,1743,4.06E+00,204,1480,2.756756757,9.353213368,28.93624679,171.9028278,236.4012957,4495.037218,788.5898282,1276
pampang harapan,segua,2006,0,1low,463,15839,5.85E-01,610,8836,1.380715256,10.35463636,77.76666046,154.8125582,1654.073626,2399.673614,821.5638595,1276
pampang harapan,segua,2012,2,1low,200,15362,2.60E-01,667,8226,1.621687333,10.35463636,77.76666046,154.8125582,1654.073626,2399.673614,821.5638595,1276
pampang harapan,segua,2017,3,1low,686,15162,9.05E-01,1419,7559,3.754464876,10.35463636,77.76666046,154.8125582,1654.073626,2399.673614,821.5638595,1276
pangkalan buton,air pauh,2006,0,2medium,16,4613,6.94E-02,41,3959,0.207123011,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,air pauh,2012,1954,2medium,12,4597,5.22E-02,57,3918,0.290964778,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,air pauh,2017,6507,2medium,13,4585,5.67E-02,64,3861,0.331520332,20.22534602,302.9493945,233.2694637,1209.030168,3312.339225,609.5024409,3693
pangkalan buton,simpang empat,2006,0,3high,23,1397,3.29E-01,96,2697,0.711902113,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,simpang empat,2012,3691,3high,0,1374,0.00E+00,112,2596,0.862865948,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,simpang empat,2017,9560,3high,4,1374,5.82E-02,127,2484,1.022544283,22.03890785,214.116041,267.1112628,756.3806227,2194.861778,453.6283117,3693
pangkalan buton,tanah merah,2006,0,2medium,104,3496,5.95E-01,342,4785,1.429467085,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanah merah,2012,1859,2medium,7,3392,4.13E-02,366,4409,1.660240417,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanah merah,2017,5006,2medium,21,3385,1.24E-01,906,4043,4.48182043,19.04615385,141.8148448,227.8750337,904.1023727,3522.70504,471.7343403,5310
pangkalan buton,tanjung belimbing,2006,0,2medium,50,4224,2.37E-01,10,1949,0.102616727,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan buton,tanjung belimbing,2012,791,2medium,41,4174,1.96E-01,75,1939,0.773594636,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan buton,tanjung belimbing,2017,4773,2medium,72,4133,3.48E-01,62,1864,0.665236052,16.32160356,148.2227171,158.9770601,592.6311024,2741.003876,510.0940453,3693
pangkalan teluk,cali,2006,0,1low,192,27435,1.40E-01,3556,117667,0.604417551,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,cali,2012,232,1low,83,27241,6.09E-02,8399,113474,1.480339109,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,cali,2017,602,1low,189,27158,1.39E-01,6400,105075,1.218177492,4.577693734,54.56471144,173.6387505,6687.886664,1262.845157,1555.929394,3194
pangkalan teluk,pangkalan jihing,2006,0,3high,2865,53982,1.06E+00,2161,26247,1.646664381,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
pangkalan teluk,pangkalan jihing,2012,3048,3high,1352,50441,5.36E-01,2409,23874,2.018094999,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
pangkalan teluk,pangkalan jihing,2017,10304,3high,1135,49089,4.62E-01,6784,21465,6.320987654,3.922403617,45.2693083,169.8169866,3680.115789,1216.744541,1802.518622,3194
riam berasap,pangkal tapang,2006,0,3high,741,13270,1.12E+00,991,45900,0.431808279,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
riam berasap,pangkal tapang,2012,2400,3high,604,12511,9.66E-01,16464,44692,7.367761568,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
riam berasap,pangkal tapang,2017,10446,3high,181,11907,3.04E-01,4808,28228,3.406546691,9.152942936,78.078229,206.3069329,2383.042357,2230.137316,603.5428872,1908
sedahan jaya,begasing,2006,0,3high,620,26910,4.61E-01,329,4103,1.603704606,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,begasing,2012,2009,3high,205,26268,1.56E-01,208,3774,1.102278749,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,begasing,2017,10785,3high,80,26063,6.14E-02,72,3566,0.403813797,7.851022071,100.1341283,164.5791735,1974.828862,1119.066191,1613.128612,2307
sedahan jaya,sidorejo,2006,0,1low,531,28816,3.69E-01,26,3867,0.134471166,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,sidorejo,2012,225,1low,776,28158,5.51E-01,54,3839,0.281323261,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,sidorejo,2017,1084,1low,557,27382,4.07E-01,85,3785,0.449141347,2.517911017,14.46353643,178.8238028,2113.093775,653.3181006,1403.94109,2307
sedahan jaya,tanjung banjar,2006,0,2medium,1,519,3.85E-02,1,566,0.035335689,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sedahan jaya,tanjung banjar,2012,681,2medium,4,518,1.54E-01,8,565,0.283185841,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sedahan jaya,tanjung banjar,2017,3588,2medium,23,514,8.95E-01,4,557,0.143626571,12.86512524,52.50096339,174.7360308,246.1581708,979.0280351,286.0813182,2307
sejatera,melinsum,2006,0,2medium,454,24496,3.71E-01,255,2631,1.938426454,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,melinsum,2012,1207,2medium,245,23914,2.05E-01,8,2367,0.067596113,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,melinsum,2017,3100,2medium,774,23669,6.54E-01,428,2359,3.62865621,5.426112493,38.28886079,185.9989395,4015.58734,1905.049744,2683.065054,2085
sejatera,sungai belit,2006,0,1low,1924,17836,2.16E+00,346,4250,1.628235294,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,sungai belit,2012,165,1low,582,15908,7.32E-01,330,3902,1.691440287,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,sungai belit,2017,1652,1low,496,15326,6.47E-01,366,3572,2.049272116,6.442620241,35.6735717,175.8948818,2885.629818,2107.130168,1111.656122,2085
sejatera,tanjung gunung,2006,0,2medium,92,34742,5.30E-02,185,13223,0.279815473,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sejatera,tanjung gunung,2012,1572,2medium,68,34230,3.97E-02,989,12846,1.53977892,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sejatera,tanjung gunung,2017,6565,2medium,770,34162,4.51E-01,2870,11857,4.841022181,3.362054085,34.77289988,184.7015247,4315.264624,1335.420973,2503.991784,2085
sempurna,sawah sebokor,2006,0,2medium,1760,87132,4.04E-01,144,6255,0.460431655,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
sempurna,sawah sebokor,2012,263,2medium,4953,85286,1.16E+00,66,6108,0.21611002,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
sempurna,sawah sebokor,2017,3155,2medium,4790,80333,1.19E+00,535,6042,1.770936776,9.023573711,73.50565952,177.3675148,3650.876674,3154.305823,2160.010698,2051
simpang tiga,parit bugis,2006,0,1low,11,18461,1.19E-02,389,10328,0.753292022,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,parit bugis,2012,139,1low,0,18450,0.00E+00,203,9716,0.417867435,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,parit bugis,2017,249,1low,6,18450,6.50E-03,3619,9513,7.608535688,3.010562808,30.08520665,180.9794702,4405.630404,1736.946639,1433.708574,1940
simpang tiga,semanai,2006,0,1low,6,3062,3.92E-02,413,21336,0.387139108,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
simpang tiga,semanai,2012,169,1low,0,3029,0.00E+00,924,20804,0.888290713,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
simpang tiga,semanai,2017,376,1low,183,3029,1.21E+00,7328,19880,7.3722334,2.801763553,21.70248204,182.6512084,2811.030482,830.4642954,174.0548176,1940
sutra,payak itam,2006,0,2medium,67,4355,3.08E-01,150,3426,0.875656743,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,payak itam,2012,856,2medium,14,4288,6.53E-02,255,3276,1.556776557,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,payak itam,2017,5795,2medium,9,4274,4.21E-02,243,3021,1.608738828,19.10853603,154.0516292,141.26067,933.8642972,2611.542503,637.3893005,5310
sutra,selimau,2006,0,1low,3,705,8.51E-02,27,1978,0.273003033,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
sutra,selimau,2012,57,1low,0,702,0.00E+00,48,1949,0.492560287,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
sutra,selimau,2017,1541,1low,2,702,5.70E-02,175,1901,1.841136244,18.93900709,135.3432624,168.2539007,448.0020393,1250.254934,240.1699891,5310
teluk bayur,bayur indah,2006,0,1low,570,14867,7.67E-01,678,7106,1.908246552,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,bayur indah,2012,91,1low,438,14297,6.13E-01,716,6420,2.230529595,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,bayur indah,2017,245,1low,625,13859,9.02E-01,831,5704,2.913744741,4.828422181,44.10306724,168.7601795,1552.311855,1379.255497,921.1342567,3070
teluk bayur,sungai putih,2006,0,1low,661,23601,5.60E-01,2096,84058,0.498703276,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070
teluk bayur,sungai putih,2012,134,1low,641,22746,5.64E-01,8980,81888,2.193239547,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070
teluk bayur,sungai putih,2017,1202,1low,1746,22105,1.58E+00,21252,72908,5.829812915,5.591250739,55.08601469,171.9692171,1771.135493,1818.302818,1394.359209,3070